@id,@lat,@lon,name,historic,tourism
7833095397,41.8644645,21.9410121,Споменик „Лазар Колишевски“,monument,
7836134125,41.8627557,21.9386585,Св. Илија,memorial,
7947878810,41.9156602,22.412778,Споменик на Никола Карев,monument,
8048135011,41.3464944,21.5629735,Кире Гаврилоски-Јане / Круме Волнароски-Коља,memorial,
8063563409,41.3421058,21.5572532,Александар Македонски,memorial,
8193704891,41.3761727,21.2464617,Мирослав Јоксимовиќ,memorial,
8279921462,41.3653786,21.2488407,Кица Петрески,monument,
8402562316,41.8668125,21.6650899,VAM-304,monument,
8402601134,41.4498577,22.6491133,МАР-7712,monument,
8412381211,41.366045,20.6489384,1. Бригада,memorial,
8433354043,41.9998632,21.4292436,Ослободителите на Скопје,monument,
8677386085,42.0673767,20.9185104,Вејце,monument,
8880547039,41.9998618,21.4485415,Генерал Михаило Апостолски,monument,
8883349543,41.9988251,21.4506665,Генерал Михајло Апостолски,memorial,
8883349544,41.9960184,21.4412009,Krste Petkov Misirkov,monument,
8883349545,41.9960802,21.4408764,Blaže Koneski,monument,
8901338318,41.6560282,21.0216359,Sultana,memorial,
8901338319,41.7192252,20.881732,Xhemë Hasa,memorial,
8901349094,41.5964956,20.9510739,Albanian Mother,memorial,
8944545329,41.0108476,21.3208996,Св. Георгиј,wayside_shrine,
8951219184,41.1119818,20.799333,Фаќач на чесниот крст,monument,
9026624343,41.9945304,21.4326511,Павел Шатев,monument,
9078062189,41.993726,21.4332709,Невена Георгиева-Дуња,memorial,
9080920713,42.0640097,21.0288552,Ѓоко Лазаревски,monument,
9080921338,42.0700178,21.027212,Теодорит,tomb,
9086030878,42.0669654,21.0282911,Кирил Пејчиновиќ-Тетоец,tomb,
9086030879,42.0668701,21.0285176,Загинати Лешочани во војните 1903-2001,monument,
9200215821,41.1141534,20.798276,Нада Филева,memorial,
9200216569,42.0043082,21.4185013,Dane kraptzew,memorial,
9269907745,41.9918182,21.4296159,Атентат на Киро Глигоров,memorial,
9633312940,41.3643261,21.6070578,Св. Петка,wayside_shrine,
9653138816,41.018858,21.3293819,Ф-86Е,aircraft,attraction
9653178117,41.0186718,21.3292773,Ф-86Д,aircraft,attraction
9661472617,41.9135927,22.4105061,Браќата Просветители Св. Кирил и Методиј,monument,
9661483288,41.9143473,22.410612,Љупчо Сантов,monument,
9663795290,41.204511,21.4572557,Братска гробница,tomb,
9673875423,41.9755167,21.6216919,Сухои Су-25УБ,aircraft,attraction
9673875424,41.9754577,21.6219516,Сухои Су-25К,aircraft,attraction
9723408984,41.4286415,21.6200758,Игуменија Катерина,tomb,
9927093810,41.8781835,20.8876605,Naim Frasheri,monument,
9927105104,41.878351,20.8835051,Naser Ademi,monument,
9927105105,41.8782156,20.883467,Deshmoret e Ushtrise Clirimtare Kombetare,monument,
10006874002,42.0001506,22.1778987,Јаким Д Стојковски,memorial,
10173766195,41.8768098,22.5027575,Viničko Kale,castle,
10204019571,41.1757975,20.6778798,Нико Нестор-Дживджан,memorial,
10204019572,41.1756353,20.6791018,Дрини дент,memorial,
10913797906,41.9964125,21.4328484,Споменик „Солунски атентатори и Гемиџии“,memorial,
10914553383,41.9538189,21.288822,Света Троица и Свети Ѓорѓија,ruins,
11107939919,41.8117124,21.1617392,Голема Пеш,archaeological_site,
